 city, time, temperature (C°), relative humidity (%), apparent temperature (C°), pressure (psi), precipitation (mm)
Paris,2021-12-13T04:00,9.1,97,7.9,1027.4,0.0
Paris,2021-12-13T05:00,8.9,98,7.8,1027.4,0.0
Paris,2021-12-13T06:00,8.9,98,7.8,1027.4,0.0
Paris,2021-12-13T07:00,8.7,99,7.2,1026.9,0.0
Paris,2021-12-13T08:00,8.5,99,6.7,1027.4,0.0
Paris,2021-12-13T09:00,8.5,96,6.4,1027.9,0.0
Paris,2021-12-13T10:00,9.0,91,7.2,1028.4,0.0
Paris,2021-12-13T11:00,9.1,90,7.2,1027.4,0.0
Paris,2021-12-13T12:00,9.1,88,7.3,1027.4,0.0
Paris,2021-12-13T13:00,9.3,86,7.6,1026.9,0.0
Paris,2021-12-13T14:00,9.5,84,8.0,1026.9,0.0
Paris,2021-12-13T15:00,9.5,82,7.9,1026.9,0.0
Paris,2021-12-13T16:00,9.2,83,7.5,1026.9,0.0
Paris,2021-12-13T17:00,8.8,81,6.9,1026.9,0.0
Paris,2021-12-13T18:00,8.5,87,6.9,1027.4,0.0
Paris,2021-12-13T19:00,8.1,88,6.2,1027.4,0.0
Paris,2021-12-13T20:00,7.3,92,5.6,1027.9,0.0
Paris,2021-12-13T21:00,6.7,94,5.2,1027.4,0.0
Paris,2021-12-13T22:00,6.2,94,4.6,1027.4,0.0
Paris,2021-12-13T23:00,5.7,95,4.1,1027.9,0.0
Paris,2021-12-14T00:00,5.2,96,3.5,1027.9,0.0
Paris,2021-12-14T01:00,4.5,98,2.7,1027.4,0.0
Paris,2021-12-14T02:00,3.9,100,2.3,1027.9,0.0
Paris,2021-12-14T03:00,2.5,100,0.5,1027.9,0.0
Paris,2021-12-14T04:00,2.6,100,0.3,1027.9,0.0
Paris,2021-12-14T05:00,3.0,100,0.9,1027.9,0.0
Paris,2021-12-14T06:00,3.2,100,1.4,1028.4,0.0
Paris,2021-12-14T07:00,3.3,100,1.2,1028.9,0.0
Paris,2021-12-14T08:00,3.4,100,1.6,1029.4,0.0
Paris,2021-12-14T09:00,3.7,100,2.1,1029.9,0.0
Paris,2021-12-14T10:00,4.0,100,2.4,1029.9,0.0
Paris,2021-12-14T11:00,4.7,96,3.0,1029.9,0.0
Paris,2021-12-14T12:00,5.4,93,3.8,1029.9,0.0
Paris,2021-12-14T13:00,6.0,92,4.3,1029.9,0.0
Paris,2021-12-14T14:00,6.5,89,4.9,1029.9,0.0
Paris,2021-12-14T15:00,6.7,88,5.1,1029.9,0.0
Paris,2021-12-14T16:00,6.7,89,5.3,1029.9,0.0
Paris,2021-12-14T17:00,6.5,92,4.9,1030.9,0.0
Paris,2021-12-14T18:00,6.3,94,4.6,1030.9,0.0
Paris,2021-12-14T19:00,6.1,94,4.5,1030.9,0.0
Paris,2021-12-14T20:00,6.2,94,4.6,1030.9,0.0
Paris,2021-12-14T21:00,6.2,94,4.6,1031.9,0.0
Paris,2021-12-14T22:00,6.1,95,4.6,1031.9,0.0
Paris,2021-12-14T23:00,6.0,95,4.4,1031.9,0.0
Paris,2021-12-15T00:00,6.0,96,4.4,1031.9,0.0
Paris,2021-12-15T01:00,5.9,97,4.4,1031.9,0.0
Paris,2021-12-15T02:00,5.8,97,4.2,1031.9,0.0
Paris,2021-12-15T03:00,5.8,97,4.1,1031.9,0.0
Paris,2021-12-15T04:00,5.8,97,4.0,1031.9,0.0
Paris,2021-12-15T05:00,5.7,97,4.2,1031.9,0.0
Paris,2021-12-15T06:00,5.8,97,4.4,1031.9,0.0
Paris,2021-12-15T07:00,5.7,97,4.2,1032.9,0.0
